case,T,J,value
baseline,T4258,HOB_elec,0.017323232323232324
baseline,T4258,HOB_gasoil,0.2589902912621359
baseline,T4258,HOB_muniwaste,0.14488636363636362
baseline,T4258,HOB_natgas,0.1974757281553398
baseline,T4258,HP_ambient,0.005331053776810692
baseline,T4258,HP_industry,0.0053013910355486854
baseline,T4258,HR_S-near,0.004985465116279069
baseline,T4258,HR_S-far,0.004985465116279069
baseline,T4258,HR_M-near,0.004451077082792628
baseline,T4258,HR_M-far,0.004451077082792628
baseline,T4258,HR_L-near,0.004022988505747126
baseline,T4258,HR_L-far,0.004022988505747126
baseline,T4378,CHP_coal,0.5880362264150943
baseline,T4378,CHP_muniwaste,0.19480901077375123
baseline,T4378,CHP_natgas,0.5510247349823321
baseline,T4378,HOB_elec,0.05105353535353536
baseline,T4378,HOB_gasoil,0.2589902912621359
baseline,T4378,HOB_muniwaste,0.14488636363636362
baseline,T4378,HOB_natgas,0.1974757281553398
baseline,T4378,HP_ambient,0.015357945913096322
baseline,T4378,HP_industry,0.015623802163833075
baseline,T4378,HR_S-near,0.014692732558139535
baseline,T4378,HR_S-far,0.014692732558139535
baseline,T4378,HR_M-near,0.0131178302621334
baseline,T4378,HR_M-far,0.0131178302621334
baseline,T4378,HR_L-near,0.01185620455078583
baseline,T4378,HR_L-far,0.01185620455078583
baseline,T4498,CHP_coal,0.5880362264150943
baseline,T4498,CHP_muniwaste,0.19480901077375123
baseline,T4498,CHP_natgas,0.5510247349823321
baseline,T4498,HOB_elec,0.023331313131313133
baseline,T4498,HOB_gasoil,0.2589902912621359
baseline,T4498,HOB_muniwaste,0.14488636363636362
baseline,T4498,HOB_natgas,0.1974757281553398
baseline,T4498,HP_ambient,0.006942590922753231
baseline,T4498,HP_industry,0.007067931456548348
baseline,T4498,HR_S-near,0.006641173087981599
